subject_id,session_id,run_id,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,metadata_AccelNumReferenceLines,metadata_AccelerationFactorPE,metadata_AcquisitionMatrix,metadata_DeviceSerialNumber,metadata_EchoTime,metadata_EchoTrainLength,metadata_FlipAngle,metadata_ImageType,metadata_ImagingFrequency,metadata_InPlanePhaseEncodingDirection,metadata_InversionTime,metadata_MRAcquisitionType,metadata_MagneticFieldStrength,metadata_ManufacturerModelName,metadata_NumberOfAverages,metadata_NumberOfPhaseEncodingSteps,metadata_PatientPosition,metadata_PercentPhaseFieldOfView,metadata_PercentSampling,metadata_PhaseEncodingDirection,metadata_PixelBandwidth,metadata_ProtocolName,metadata_ReceiveCoilName,metadata_RepetitionTime,metadata_ScanOptions,metadata_ScanningSequence,metadata_SequenceName,metadata_SequenceVariant,metadata_SoftwareVersions,metadata_TotalScanTimeSec,metadata_TransmitCoilName,metadata_VariableFlipAngleFlag,qc_type,qi1,qi2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm,wm2max
sub-10171,0,0,0.528391718864,1.08021295071,0.51792667272,483.060913086,3.27056,3.29747,3.44482,3.07977,0.156112982073,0.471834146492,0.372052871434,1.09375369549,0.467265382409,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123249609,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.000591451406148,0.00228011425354,83452.6796875,167624.15625,75015.5,176,256,256,2.31813389278,9.59900286503,8.78547384814,14.4392847866,1.0,1.0,1.0,251.781570435,85.7298202515,163.806930542,270.536437988,117.0,27.0,30.5800628662,62.9200973511,385.0,150.999908447,269.0,403.0,82.7196731567,40.1663475037,73.1108703613,111.690040588,0.713080168776
sub-10189,0,0,0.531092941761,0.965233922005,0.510789309814,436.277587891,3.92838,3.99363,3.97726,3.8167,0.20256913505,0.401665399031,0.395765465919,1.05912721157,0.409507527947,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123249913,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.00708791554368,0.00776098237541,72030.96875,154913.203125,61743.40625,176,256,256,2.73928831334,8.41409144684,10.509994208,20.3766028638,0.999999165535,1.0,1.0,237.54133606,86.6319503784,151.003311157,261.06842041,95.6379680634,39.9040597916,33.8153486252,86.0077545166,361.495361328,148.099871063,264.896253967,377.11907959,79.4556884766,34.5989341736,73.0945968628,91.6402587891,0.617106652003
sub-10193,0,0,0.609709501266,0.94277971983,0.525661798434,318.708190918,4.57625,4.53321,4.77793,4.4247,0.1970347183,0.370469620483,0.432495661217,1.01865744591,0.435796761513,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123249713,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.0130799179518,0.00822154548592,82629.28125,165675.828125,93241.8046875,176,256,256,3.57268792964,10.475250566,9.52073198559,14.5142574612,0.999997198582,1.0,1.0,260.425384521,106.862197876,158.126220703,276.739196777,126.715812683,45.1167812347,45.2539077759,89.2293647766,380.311761475,180.100814819,274.446392822,393.791459656,79.6337356567,45.5146751404,72.4832992554,100.132034302,0.764075791436
sub-10206,0,0,0.560473561287,1.04605782032,0.513209502956,327.432189941,3.06638,3.1094,3.21181,2.88704,0.176671613474,0.441072223361,0.382256163165,1.13016247749,0.503600153327,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123249694,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.00120327061092,0.00185953785908,89588.15625,145296.640625,68629.4921875,176,256,256,2.32982703931,9.72423946297,8.63342131661,13.8461974475,1.0,1.0,1.0,228.383911133,78.4665679932,145.319091797,249.69619751,94.0,25.2000007629,19.2000598907,57.6800804138,350.0,134.0,245.0,364.0,78.017906189,35.6490211487,69.1003646851,100.594650269,0.778337531486
sub-10217,0,0,0.506408452988,1.29815733433,0.454156323454,545.847717285,3.29523,3.31001,3.5058,3.08348,0.170865277479,0.407650254001,0.421484468519,1.03541505337,0.366178166866,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123249756,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.000811496576449,0.00201399296414,74915.984375,156393.140625,59705.390625,176,256,256,2.37616278881,7.93938328315,9.75174464699,18.939687869,1.0,1.0,1.0,316.024230957,105.94417572,192.840515137,350.4737854,137.0,41.7000007629,31.1600780487,107.800102234,468.0,182.0,335.0,485.0,103.143470764,47.088809967,94.9249801636,119.572311401,0.672051696284
sub-10225,0,0,0.496735870838,1.35754096508,0.486507591807,567.403808594,3.9509,4.06261,3.89674,3.89567,0.196661531139,0.426738481862,0.376599986999,0.796372592449,0.291190949082,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123249767,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.00866654231576,0.0122151327998,92396.4375,179562.9375,73451.5859375,176,256,256,2.45031718683,9.17229842066,10.3138728862,19.319003051,1.00000214577,1.0,1.0,205.36416626,74.1079864502,132.670410156,231.541305542,84.3042175293,30.0619724274,29.6195461273,71.5455551147,311.960925293,124.298014832,221.724932861,325.976043701,69.7721939087,34.3106765747,60.2681617737,82.1820678711,0.767441853902
sub-10228,0,0,0.499231517315,1.08530831337,0.490293139994,434.628631592,3.89891,3.95695,3.88684,3.85365,0.182794063933,0.426230778607,0.39097515746,0.938834011555,0.335318374634,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123249909,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.0089235623074,0.0113321760622,69846.0,144759.34375,57141.4375,176,256,256,2.63800278498,9.15518323111,10.8476766118,20.7498438193,1.00000405312,1.0,1.0,173.760879517,62.1829719543,112.898345947,191.123840332,74.6702331543,27.2093084335,26.3776416779,61.9133014679,257.525109863,106.075473404,188.400350189,269.226028442,55.3623046875,24.8886470795,51.3613548279,66.0859146118,0.586824862822
sub-10235,0,0,0.529956936836,1.00860524178,0.527360057355,343.091522217,3.17858,3.24572,3.2331,3.06033,0.177931761135,0.427326068105,0.39474217076,1.16360986233,0.379831647873,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123250034,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.00376360191893,0.002339297055,91716.125,177292.75,77469.0390625,176,256,256,2.60545419184,9.14646251638,8.97483645472,15.1725926559,1.0,1.0,1.0,234.933135986,82.6540756226,148.07649231,256.958587646,104.0,27.1699981689,26.0999984741,66.0800933838,352.0,142.0,246.0,366.0,77.0897750854,38.8916969299,68.5979309082,97.8690643311,0.62226640159
sub-10249,0,0,0.51104414463,1.14792752266,0.502037612442,657.294006348,3.06682,3.12444,3.23,2.85817,0.171331037201,0.424235440523,0.404433522276,1.029083848,0.379191279411,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123249026,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.000878161762404,0.00513318474778,101196.109375,174735.703125,70298.59375,176,256,256,2.00877801578,8.77235052669,9.13684176995,16.6293967674,1.0,1.0,1.0,272.447509766,90.85987854,170.091583252,301.064239502,113.0,31.4399967194,20.300075531,81.5401229858,411.0,155.0,292.0,430.0,91.4297409058,39.9824142456,82.9852523804,110.6095047,0.657559198543
sub-10269,0,0,0.701465129852,0.795840501785,0.753208865509,53.6732063293,1.89818,2.37767,1.73899,1.6541,0.169996145079,0.411524046219,0.418479808702,1.33949828148,0.490988302231,32,2,0/256/256/0,35343,0.00352,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123249446,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.0167030694716,0.00125067683402,158329.09375,336866.46875,232094.6875,176,256,256,2.28058015476,7.8017061527,6.32539557985,8.8939004321,1.0,0.6875,0.6875,214.570541382,74.3217926025,132.925888062,215.582183838,83.0,21.6999874115,18.1299991608,23.8801078796,334.0,136.0,230.999633789,351.0,76.0077133179,36.5617218018,64.9929351807,102.480552673,0.611111566991
