"","iteration","lower_lin","est_lin","upper_lin","p_lin","logLik_lin","AIC_lin","lower_log","est_log","upper_log","p_log","logLik_log","AIC_log","p_log","p_lin_vs_log","lin_ci_width","log_ci_width","delta_logLik"
"1",1,-3.67403400160823e-06,1.21790834907169e-06,6.1098506997516e-06,0.62523867270814,3243.4097761038,-6431.71451041664,-0.00130001505677234,0.000147556193040889,0.00159512744285412,0.841484715886117,3243.31039246362,-6442.89595539304,0.841484715886117,0.905395295373915,9.78388470135983e-06,0.00289514249962647,0.0993836401789849
"2",2,-5.8522006276859e-06,-9.77164147213174e-07,3.89787233325955e-06,0.694129300388429,3249.10648356371,-6443.10335635004,-0.00155101924143808,-0.000109090340964665,0.00133283855950875,0.881996972170627,3249.05827364648,-6454.39246398453,0.881996972170627,0.952933728872105,9.75007296094545e-06,0.00288385780094683,0.048209917229542
"3",3,-1.03465828757677e-05,-3.1936756805365e-06,3.95923151469471e-06,0.381119366176335,3228.72199046717,-6403.5181033609,-0.00282183654987395,-0.000496840997043815,0.00182815455578632,0.675028441429879,3228.77171343258,-6415.18216379882,0.675028441429879,0.951492984456618,1.43058143904624e-05,0.00464999110566027,-0.0497229654138209
"4",4,-4.42769930356888e-06,4.64447817967987e-07,5.35659493950485e-06,0.852234324734152,3243.35983089102,-6431.6148150444,-0.00170887479914573,-0.000260084466332968,0.00118870586647979,0.72468187026568,3243.46800475074,-6443.2505721372,0.72468187026568,0.897471548712679,9.78429424307373e-06,0.00289758066562552,-0.108173859720864
"5",5,-1.52605116626362e-06,3.34703100372227e-06,8.22011317370816e-06,0.178002136142912,3248.46638931109,-6441.81234314674,-0.000766999341644212,0.000675450927018458,0.00211790119568113,0.35833604169591,3247.97917582613,-6452.21988438958,0.35833604169591,0.614335867476547,9.74616433997178e-06,0.00288490053732534,0.487213484959284
"6",6,-6.60666876074351e-06,-1.80844549793027e-06,2.98977776488297e-06,0.459678406879101,3268.7027595319,-6482.22317087237,-0.0014403282125375,-1.88578390016396e-05,0.00140261253453422,0.979234096081777,3268.52020037911,-6493.28940734756,0.979234096081777,0.833135360192389,9.59644652562648e-06,0.00284294074707173,0.18255915278678
"7",7,-6.78792732022023e-06,-1.57933986007913e-06,3.62924760006197e-06,0.551932930388217,3280.33125487264,-6506.58159930758,-0.0019098826446891,-0.000199039250348785,0.00151180414399153,0.819444839085561,3280.47305573444,-6518.54446563824,0.819444839085561,0.867794050221816,1.04171749202822e-05,0.00342168678868064,-0.141800861804313
"8",8,-5.20667446078092e-06,2.36557759394131e-06,9.93782964866353e-06,0.539957803032106,3244.36674535651,-6434.88714976438,-0.00123027570682772,0.00069269735903798,0.00261567042490368,0.479771596392462,3245.09079636022,-6447.41802751882,0.479771596392462,0.48478440933579,1.51445041094444e-05,0.00384594613173139,-0.724051003704972
"9",9,-4.90262070622247e-06,9.0364161649224e-08,5.08334902952092e-06,0.971673663386273,3271.39075208277,-6488.4249235328,-0.00154647814519867,-0.000100085286030002,0.00134630757313866,0.892007126832508,3271.90292472438,-6500.77835797097,0.892007126832508,0.599192333383905,9.98596973574338e-06,0.00289278571833733,-0.512172641614143
"10",10,-3.93725267964161e-06,2.22842254863261e-06,8.39409777690684e-06,0.478307688119838,3300.41862064721,-6546.7799551572,-0.00127535810656511,0.000550254368383652,0.00237586684333242,0.554309245921577,3300.71386354024,-6558.71832019112,0.554309245921577,0.744350767897699,1.23313504565485e-05,0.00365122494989753,-0.295242893024351
"11",11,-2.83138606007904e-06,3.29045764063033e-06,9.41230134133969e-06,0.29176419588485,3238.68480323523,-6423.2455079841,-0.0012909082598965,0.000189924921445455,0.00167075810278741,0.801321852147248,3237.72779067108,-6432.24260620299,0.801321852147248,0.384038464224713,1.22436874014187e-05,0.0029616663626839,0.957012564158958
"12",12,-4.77780172118081e-06,3.77748517903856e-07,5.53329875698852e-06,0.885691818131206,3226.18680365218,-6398.08082641669,-0.00113657162920119,0.000377692484462287,0.00189195659812577,0.624598406111695,3226.2677875056,-6409.60933538858,0.624598406111695,0.922208581841047,1.03111004781693e-05,0.00302852822732696,-0.0809838534178198
"13",13,-7.34221155440986e-06,-2.56000150465454e-06,2.22220854510077e-06,0.293721740728636,3273.06164119426,-6490.92749031546,-0.00169173147645065,-0.000276220604500735,0.00113929026744918,0.701829326484613,3272.58257828169,-6501.35073908636,0.701829326484613,0.61936351771552,9.56442009951063e-06,0.00283102174389983,0.479062912571408
"14",14,-2.54685668448741e-06,3.6102294103591e-06,9.76731550520562e-06,0.250132989514843,3224.2426282346,-6394.30717207306,9.14371870979218e-05,0.00158679108685347,0.00308214498660902,0.0375681822558601,3225.35212388091,-6407.40391209137,0.0375681822558601,0.329725217275628,1.2314172189693e-05,0.0029907077995111,-1.10949564631028
